x_value,total_1,total_2
461,1435,1175
462,1433,1172
463,1429,1171
464,1433,1167
465,1429,1166
466,1435,1170
467,1438,1171
468,1444,1166
469,1445,1164
470,1443,1163
471,1444,1167
472,1445,1173
473,1444,1179
474,1443,1181
475,1440,1178
476,1446,1184
477,1454,1181
478,1452,1177
479,1460,1172
480,1458,1178
481,1456,1182
482,1455,1187
483,1455,1187
484,1456,1193
485,1459,1190
486,1459,1191
487,1465,1191
488,1473,1186
489,1481,1181
490,1477,1176
491,1478,1172
492,1474,1170
493,1475,1171
494,1479,1173
495,1487,1176
496,1486,1180
497,1481,1186
498,1479,1187
499,1476,1187
500,1475,1188
501,1476,1192
502,1483,1193
503,1480,1199
504,1475,1194
505,1477,1198
506,1478,1194
507,1477,1191
508,1473,1190
509,1468,1188
510,1469,1193
511,1476,1195
512,1474,1198
513,1470,1201
514,1467,1202
515,1465,1201
516,1472,1205
517,1468,1209
518,1466,1209
519,1469,1215
520,1476,1217
521,1478,1213
522,1481,1215
523,1485,1218
524,1493,1216
525,1499,1218
526,1496,1218
527,1497,1214
528,1502,1209
529,1502,1211
530,1507,1213
531,1511,1216
532,1511,1217
533,1516,1214
534,1522,1214
535,1525,1213
536,1525,1213
537,1524,1214
538,1529,1210
539,1536,1211
540,1538,1215
541,1539,1216
542,1540,1213
543,1544,1215
544,1539,1213
545,1541,1211
546,1549,1211
547,1551,1215
548,1557,1211
549,1553,1212
550,1554,1218
551,1549,1216
552,1548,1217
553,1549,1223
554,1551,1229
555,1549,1224
556,1543,1226
557,1541,1225
558,1538,1231
559,1538,1226
560,1546,1223
561,1551,1218
562,1548,1215
563,1544,1220
564,1552,1216
565,1559,1219
566,1561,1222
567,1561,1227
568,1565,1224
569,1568,1225
570,1576,1222
571,1584,1224
572,1580,1224
573,1588,1228
574,1590,1227
575,1586,1229
576,1581,1229
577,1587,1232
578,1589,1235
579,1585,1233
580,1592,1231
581,1586,1230
582,1586,1232
583,1590,1229
584,1596,1235
585,1592,1232
586,1597,1227
587,1596,1230
588,1599,1226
589,1600,1221
590,1597,1216
591,1605,1214
592,1604,1210
593,1598,1205
594,1594,1201
595,1597,1200
596,1593,1203
597,1601,1199
598,1603,1196
599,1601,1191
600,1599,1186
601,1603,1191
602,1599,1194
603,1603,1194
604,1604,1191
605,1612,1189
606,1615,1188
607,1622,1185
608,1616,1185
609,1622,1186
610,1625,1181
611,1630,1187
612,1627,1182
613,1629,1182
614,1633,1183
615,1635,1189
616,1631,1193
617,1637,1194
618,1644,1191
619,1639,1195
620,1645,1198
621,1644,1202
622,1640,1207
623,1640,1212
624,1636,1210
625,1642,1211
626,1650,1217
627,1651,1220
628,1648,1222
629,1653,1217
630,1658,1218
